Location,Area,No. of Beds,No. of Baths,Price,Date Listed,Date Updated,Link,Image Link
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,8 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 3 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 3 weeks ago,(Updated: 4 days ago),N/A,N/A
Sample Location Name,8 Marla,5.0,5.0,XXXXX,Added: 3 weeks ago,(Updated: 5 days ago),N/A,N/A
Sample Location Name,6 Marla,5.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,1 Kanal,7.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,8 Marla,5.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,11 Marla,6.0,6.0,XXXXX,Added: 1 hour ago,(Updated: 1 hour ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 hour ago,(Updated: 1 hour ago),N/A,N/A
Sample Location Name,4.5 Marla,2.0,3.0,XXXXX,Added: 5 hours ago,,N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 6 hours ago,(Updated: 6 hours ago),N/A,N/A
Sample Location Name,4.7 Marla,2.0,3.0,XXXXX,Added: 6 hours ago,(Updated: 3 hours ago),N/A,N/A
Sample Location Name,6.7 Marla,4.0,5.0,XXXXX,Added: 1 day ago,(Updated: 1 day ago),N/A,N/A
Sample Location Name,5.6 Marla,2.0,3.0,XXXXX,Added: 1 day ago,,N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 1 hour ago,,N/A,N/A
Sample Location Name,6 Marla,6.0,6.0,XXXXX,Added: 8 hours ago,,N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 8 hours ago,(Updated: 8 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 8 hours ago,(Updated: 8 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 20 hours ago,,N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 20 hours ago,,N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 20 hours ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 20 hours ago,,N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,6 Marla,2.0,2.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 2 days ago,,N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 2 days ago,,N/A,N/A
Sample Location Name,8 Marla,7.0,6.0,XXXXX,Added: 2 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,2.0,3.0,XXXXX,Added: 2 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 2 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 2 days ago,,N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 2 days ago,(Updated: 10 hours ago),N/A,N/A
Sample Location Name,8 Marla,4.0,4.0,XXXXX,Added: 3 days ago,,N/A,N/A
Sample Location Name,5.7 Marla,4.0,4.0,XXXXX,Added: 3 days ago,(Updated: 3 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 3 days ago,,N/A,N/A
Sample Location Name,5.6 Marla,3.0,4.0,XXXXX,Added: 1 day ago,,N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 3 days ago,,N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 3 days ago,,N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,2.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,2.0,3.0,XXXXX,Added: 21 hours ago,,N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 21 hours ago,,N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 21 hours ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 21 hours ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,6 Marla,5.0,6.0,XXXXX,Added: 21 hours ago,,N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 21 hours ago,,N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 21 hours ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 1 day ago,,N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,5.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 5 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,10 Marla,7.0,6.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,5.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
